Joke,Category,Likes,Dislikes,Like%
During lunch at work^ I ate 3 plates of beans (which I know I shouldn't). When I got home^ my husband seemed excited to see me and exclaimed delightedly^ "Darling I have a surprise for dinner tonight." He then blindfolded me and led me to my chair at the dinner table. I took a seat and just as he was about to remove my blindfold^ the telephone rang. He made me promise not to touch the blindfold until he returned and went to answer the call. The beans I had consumed were still affecting me and the pressure was becoming unbearable^ so while my husband was out of the room I seized the opportunity^ shifted my weight to one leg and let one go. It was not only loud^ but it smelled like a fertilizer truck running over a skunk in front of a garbage dump! I took my napkin from my lap and fanned the air around me vigorously. Then^ shifting to the other leg^ I ripped off three more. The stink was worse than cooked cabbage. Keeping my ears carefully tuned to the conversation in the other room^ I went on releasing atomic bombs like this for another few minutes. The pleasure was indescribable! Eventually the telephone farewells signaled the end of my freedom^ so I quickly fanned the air a few more times with my napkin^ placed it on my lap and folded my hands back on it feeling very relieved and pleased with myself. My face must have been the picture of innocence when my husband returned^ apologizing for taking so long. He asked me if I had peaked through the blindfold^ and I assured him I had not. At this point^ he removed the blindfold^ and twelve dinner guests seated around the table^ with their hands to their noses^ chorused^ "Happy Birthday!",miscellaneous-jokes,2943,332,0.89862597
Two guys are walking through a game park & they come across a lion that has not eaten for days. The lion starts chasing the two men. They run as fast as they can and the one guy starts getting tired and decides to say a prayer^ "Please turn this lion into a Christian^ Lord." He looks to see if the lion is still chasing and he sees the lion on its knees. Happy to see his prayer answered^ he turns around and heads towards the lion. As he comes closer to the lion^ he hears the it saying a prayer: "Thank you Lord for the food I am about to receive.",miscellaneous-jokes,2593,492,0.84051865
Q: Can February march? A: No^ but April may.,miscellaneous-jokes,2587,908,0.7402003
Maria^ a devout Catholic^ got married and had 15 children. After her first husband died^ she remarried and had 15 more children. A few weeks after her second husband died^ Maria also passed away. At Maria's funeral^ the priest looked skyward and said^ "At last^ they're finally together." Her sister sitting in the front row said^ "Excuse me^ Father^ but do you mean she and her first husband^ or she and her second husband?" The priest replied^ "I mean her legs.",miscellaneous-jokes,2440,464,0.8402204
A: I have the perfect son. B: Does he smoke? A: No^ he doesn’t. B: Does he drink whiskey? A: No^ he doesn’t. B: Does he ever come home late? A: No^ he doesn’t. B: I guess you really do have the perfect son. How old is he? A: He will be six months old next Wednesday.,miscellaneous-jokes,2337,680,0.7746105
Don't break anybody's heart; they only have 1. Break their bones; they have 206.,miscellaneous-jokes,2329,686,0.77247095
Mother superior tells two new nuns that they have to paint their room without getting any paint on their clothes. One nun suggests to the other^ "Hey^ let's take all our clothes off^ fold them up^ and lock the door." So they do this^ and begin painting their room. Soon they hear a knock at the door. They ask^ "Who is it?" "Blind man!" The nuns look at each other and one nun says^ "He's blind^ so he can't see. What could it hurt?" They let him in. The blind man walks in and says^ "Hey^ nice tits. Where do you want me to hang the blinds?",miscellaneous-jokes,2107,439,0.82757264
A man buys a lie detector robot that slaps people who lie. He decides to test it at dinner. He asks his son^ "Son^ where were you today during school hours?" "At school." The robot slaps the son. "Okay^ I went to the movies!" The father asks^ "Which one?" "Harry Potter." The robot slaps the son again. "Okay^ I was watching porn!" The father replies^ "What? When I was your age I didn't even know what porn was!" The robot slaps the father. The mom chimes in^ "Haha! After all^ he is your son!" The robot slaps the mother.,miscellaneous-jokes,2104,197,0.914385
Three dead men go to hell at the same time. There is a white man^ a Chinese man^ and a Mexican man. Satan tells them that they can only leave hell if he can't do what they ask. The white man asks for the fastest sports car in the world; he goes to into hell. The Chinese man asks for the most advanced computer in the world; he goes into to hell. The Mexican man gets a glass soda bottle^ farts into it^ closes the lid^ pokes many holes in the lid^ and asks Satan which hole the fart came from. After pointing to every hole on the lid^ the Mexican turns around^ points at his butt hole^ and says^ "Nope^ this one.",miscellaneous-jokes,2042,1730,0.5413574
A few days after Christmas^ a mother was working in the kitchen listening to her young son playing with his new electric train in the living room. She heard the train stop and her son said^ "All of you sons of bitches who want off^ get the hell off now^ cause this is the last stop! And all of you sons of bitches who are getting on^ get your asses in the train^ cause we're going down the tracks." The mother went nuts and told her son^ "We don't use that kind of language in this house. Now I want you to go to your room and you are to stay there for TWO HOURS. When you come out^ you may play with your train^ but I want you to use nice language." Two hours later^ the son comes out of the bedroom and resumes playing with his train. Soon the train stopped and the mother heard her son say^ "All passengers who are disembarking from the train^ please remember to take all of your belongings with you. We thank you for riding with us today and hope your trip was a pleasant one. We hope you will ride with us again soon." She hears the little boy continue^ "For those of you just boarding^ we ask you to stow all of your hand luggage under your seat. Remember^ there is no smoking on the train. We hope you will have a pleasant and relaxing journey with us today." As the mother began to smile^ the child added^ "For those of you who are pissed off about the two hour delay^ please see the bitch in the kitchen.",miscellaneous-jokes,2028,232,0.8973451
Why is it that your nose runs^ but your feet smell?,miscellaneous-jokes,1942,856,0.6940672
You are on a horse^ galloping at a constant speed. On your right side is a sharp drop off^ and on your left side is an elephant traveling at the same speed as you. Directly in front of you is another galloping horse but your horse is unable to overtake it. Behind you is a lion running at the same speed as you and the horse in front of you. What must you do to safely get out of this highly dangerous situation? Get your drunk ass off the merry-go-round!,miscellaneous-jokes,1913,493,0.7950956
If you ever fart in public^ just yell^ "Turbo power!" and walk faster.,miscellaneous-jokes,1906,411,0.82261544
A wealthy man was having an affair with an Italian woman for a few years. One night^ during one of their rendezvous^ she confided in him that she was pregnant. Not wanting to ruin his reputation or his marriage^ he paid her a large sum of money if she would go to Italy to have the child. If she stayed in Italy^ he would also provide child support until the child turned 18. She agreed^ but wondered how he would know when the baby was born. To keep it discrete^ he told her to mail him a postcard^ and write "Spaghetti" on the back. He would then arrange for child support. One day^ about 9 months later^ he came home to his confused wife. "Honey^" she said^ "you received a very strange postcard today." "Oh^ just give it to me and I'll explain it later^" he said. The wife handed the card over and watched as her husband read the card^ turned white^ and fainted. On the card was written "Spaghetti^ Spaghetti^ Spaghetti. Two with meatballs^ one without.",miscellaneous-jokes,1899,398,0.8267305
An old man is met by his attorney^ and is told he is going to be audited. He rides to the IRS office with his attorney^ and when he gets there^ he begins to talk with the IRS agent. "I bet $2^000 I can bite my own eye!" The IRS agent agrees to the bet^ believing it an impossible task. The old man laughs^ pulls out his glass eye^ and bites it. The IRS agent is dumbfounded. The old man bets $3^000 he can bite his other eye. The IRS agent knows there's no way possible to do this^ so he once more agrees. The old man cackles^ pulls out his dentures^ and bites his eye. Then the old man finally wagers^ "I bet $20^000 I can stand on the far side of your desk^ pee over the desk^ and get it into your wastebasket^ without missing a single drop." The agent knows he won't be able to^ so once more he agrees. The old man indeed misses^ peeing all over the desk^ and on the paperwork. The IRS agent jumps for joy^ but then notices the attorney over in the corner moaning. "Are you all right?" asks the agent. "No! On the way over here^ he bet me $400^000 he could pee on your desk and you'd be happy about it!",miscellaneous-jokes,1830,275,0.86935866
Q: What's the difference between a guitar and a fish? A: You can tune a guitar^ but you can't tuna fish.,miscellaneous-jokes,1780,1100,0.6180556
Q: What did the green grape say to the purple grape? A: "Breathe^ stupid!",miscellaneous-jokes,1745,714,0.70963806
Q: Why did the fish blush? A: Because it saw the ocean's bottom.,miscellaneous-jokes,1678,662,0.717094
In the beginning^ God created the heaven and the earth... After that^ everything else was made in China.,miscellaneous-jokes,1648,432,0.7923077
A doctor reaches into his smock to get a pen to write a prescription and pulls out a rectal thermometer. "Oh^ damn it^" he proclaims^ "Some asshole has my pen!",miscellaneous-jokes,1633,470,0.77650976
A woman goes to her boyfriend's parents' house for dinner. This is her first time meeting the family and she is very nervous. They all sit down and begin eating a fine meal. The woman is beginning to feel a little discomfort^ thanks to her nervousness and the broccoli casserole. The gas pains are almost making her eyes water. Left with no other choice^ she decides to relieve herself a bit and lets out a dainty little fart. It wasn't loud^ but everyone at the table heard the poot. Before she even had a chance to be embarrassed^ her boyfriend's father looked over at the dog that had been snoozing at the women's feet^ and said in a rather stern voice^ "Ginger!" The woman thought^ "This is great!" and a big smile came across her face. A couple minutes later^ she was beginning to feel the pain again. This time^ she didn't hesitate. She let a much louder and longer fart rip. The father again looked at the dog and yelled^ "Dammit^ Ginger!" Once again the woman smiled and thought^ "Yes!" A few minutes later the woman had to let another one rip. This time she didn't even think about it. She let rip a fart that rivaled a train whistle blowing. Again^ the father looked at the dog with disgust and yelled^ "Dammit^ Ginger^ get away from her before she shits on you!",miscellaneous-jokes,1624,184,0.8982301
A man went to his lawyer and told him^ "My neighbor owes me $500 and he won’t pay up. What should I do?" "Do you have any proof he owes you the money?" asked the lawyer. "Nope^" replied the man. "OK^ then write him a letter asking him for the $5^000 he owed you^" said the lawyer. "But it's only $500^" replied the man. "Precisely. That’s what he will reply and then you’ll have your proof!",miscellaneous-jokes,1578,295,0.84249866
Q: If you have 13 apples in one hand and 10 oranges in the other^ what do you have? A: Big hands.,miscellaneous-jokes,1530,644,0.7037718
So two Irishmen are traveling to Australia. Before they leave home^ one of their dads gives them both a bit of advice: "You watch them Aussie cab drivers. They'll rob you blind. Don't you go paying them what they ask. You haggle." At the Sydney airport^ the Irishmen catch a cab to their hotel. When they reach their destination^ the cabbie says^ "That'll be twenty dollars^ lads." "Oh no you don't! My dad warned me about you. You'll only be getting fifteen dollars from me^" says one of the men. "And you'll only be getting fifteen from me too^" adds the other.,miscellaneous-jokes,1516,500,0.7519841
I'm not calling you a slut^ I'm calling you a penny: two faced^ worthless^ and in everyone's pants.,miscellaneous-jokes,1490,374,0.7993562
"Give it to me! Give it to me!" she yelled^ "I'm so wet^ give it to me now!" She could scream all she wanted to. I was keeping the umbrella.,miscellaneous-jokes,1452,462,0.7586207
A woman was taking an afternoon nap. When she woke up^ she told her husband^ "I just dreamed that you gave me a pearl necklace. What do you think it means?" "You'll know tonight^" he said. That evening^ the man came home with a small package and gave it to his wife. Delighted^ she opened it to find a book entitled "The Meaning of Dreams.",miscellaneous-jokes,1390,319,0.81334114
Two men visit a prostitute. The first man goes into the bedroom. He comes out ten minutes later and says^ "Heck. My wife is better than that." The second man goes in. He comes out ten minutes later and says^ "You know? Your wife IS better.",miscellaneous-jokes,1328,243,0.8453215
Five out of six people agree that Russian Roulette is safe.,miscellaneous-jokes,1327,1541,0.46269178
PMS jokes aren't funny. Period.,miscellaneous-jokes,1327,1494,0.47040057
A man saw a lady with big breasts. He asked^ "Excuse me^ can I bite your breasts for $1000?" She agrees^ so they go to a secluded corner. She opens her blouse and the man puts his face in her breasts for 10 minutes." Eventually the lady asks^ "Aren't you gonna bite them?" He replies^ "No^ it's too expensive.",miscellaneous-jokes,1326,340,0.79591835
Q: What did the big chimney say to the little chimney? A: "You're too young to smoke.",miscellaneous-jokes,1250,396,0.75941676
Q: What type of sandals do frogs wear? A: Open-toad!,miscellaneous-jokes,1205,721,0.62564903
A policeman sees a little girl riding her bike and says^ "Did Santa get you that?" "Yes^" replies the little girl. "Well^" says the policeman^ "tell Santa to put a reflector light on it next year^" and fines her $5. The girl looks up at the policeman and says^ "Nice horse you've got there^ did Santa bring you that?" The policeman chuckles and replies^ "He sure did!" "Well^" says the little girl^ "next year^ tell Santa the ass goes on the back of the horse and not on top of it.",miscellaneous-jokes,1148,182,0.86315787
Q: What is the difference between a teacher and a train? A: One says^ "Spit out your gum^" and the other says^ "Choo choo choo!",miscellaneous-jokes,1125,514,0.68639416
A couple are rushing into the hospital because the wife is going into labor. As they walk^ a doctor says to them that he has invented a machine that splits the pain between the mother and father. They agree to it and are led into a room where they get hooked up to the machine. The doctor starts it off at 20% split towards the father. The wife says^ "Oh^ that's actually better." The husband says he can't feel anything. Then the doctor turns it to 50% and the wife says that it doesn't hurt nearly as much. The husband says he sill can't feel anything. The Doctor^ now encouraged^ turns it up to 100%. The husband still can't feel anything^ and the wife is really happy^ because there is now no pain for her. The baby is born. The couple go home and find the postman groaning in pain on the doorstep.,miscellaneous-jokes,1116,167,0.86983633
Dad: "Say 'daddy.'" Baby: "Mommy!" Dad: "Come on^ say 'daddy!'" Baby: "Mommy!" Dad: "F*ck you. Say 'daddy!'" Baby: "F*ck you. Mommy!" Mom: "Honey^ I'm home!" Baby: "F*ck you!" Mom: "Who taught you to say that?" Baby: "Daddy!" Dad: "Son of a b*tch.",miscellaneous-jokes,1105,205,0.84351146
Q: What do cats eat for breakfast? A: Mice Krispies.,miscellaneous-jokes,1091,898,0.54851687
There's a blond and a brunette in a car. The brunette is driving while the blonde is in the passenger seat. They're going down a steep hill when the brunette realizes that the brakes don't work. The brunette tells the blonde that the brakes don't work and they will drive off the side of the cliff because they failed to stop. The blonde then replies^ "Don't worry! There's a stop sign ahead.",miscellaneous-jokes,1080,633,0.63047284
Q: What happens once in a minute and twice in a moment but never in a decade? A: The letter "m.",miscellaneous-jokes,1060,607,0.63587284
Q: What do you get when you cross a fish and an elephant? A: Swimming trunks.,miscellaneous-jokes,1054,512,0.6730524
A boss said to his secretary^ "I want to have sex with you^ but I will make it very fast. I'll throw $1^000 on the floor and by the time you bend down to pick it up^ I'll be done." She thought for a moment then called her boyfriend and told him the story. Her boyfriend said^ "Do it but ask him for $2^000. Then pick up the money so fast^ he won't even have enough time to undress himself." She agrees. After half an hour passes^ the boyfriend calls the girlfriend and asks^ "So what happened?" She responds^ "The bastard used coins^ so I'm still picking it up and he is still having sex with me!",miscellaneous-jokes,1022,309,0.7678437
Four men are in the hospital waiting room because their wives are having babies. A nurse approaches the first guy and says^ “Congratulations! You're the father of twins.” “That's odd^” answers the man. “I work for the Minnesota Twins!” A nurse then yells the second man^ “Congratulations! You're the father of triplets!” “That's weird^” answers the second man. “I work for the 3M company!” A nurse goes up to the third man saying^ “Congratulations! You're the father of quadruplets." “That's strange^” he answers. “I work for the Four Seasons hotel!” The last man begins groaning and banging his head against the wall. “What's wrong?” the others ask. “I work for 7 Up!”,miscellaneous-jokes,1021,110,0.90274096
Q: Why shouldn't you write with a broken pencil? A: Because it’s pointless!,miscellaneous-jokes,980,280,0.7777778
A man goes to his doctor complaining about migraines. His doctor tells him^ "I also suffer from the same ailment. Every time I get one^ I give my wife oral sex. When she has an orgasm^ she tightens her legs around my head which gets rid of the pain. You should try it sometime." Two weeks later on a return visit^ the patient tells his doctor^ "Your suggestion worked and I'd like to tell you that you have a very nice house.",miscellaneous-jokes,971,149,0.8669643
At the doctor's office^ Tom was getting a check up. "I have good news and bad news^" says the doctor. "The good news is you have 24 hours left to live." Tom replies^ "That's the good news?!" Then the doctor says^ "The bad news is I should have told you that yesterday.",miscellaneous-jokes,961,228,0.8082422
Helen Keller walks into a bar^ then a table^ then a chair.,miscellaneous-jokes,955,755,0.55847955
Q. What do clouds do when they become rich? A. They make it rain!,miscellaneous-jokes,953,453,0.6778094
A child goes to his father and asks^ "Father^ how do parents think of names for their children?" The father answers^ "Well^ son^ the night before the mother gives birth^ the father goes into the woods and camps for the night. When he wakes the following morning^ the first thing he sees is what he names his child^ which is why your sister is named Soaring Eagle. Why do you ask^ Bear Poop?",miscellaneous-jokes,901,257,0.7780656
Q. What is the color of the wind? A. Blew.,miscellaneous-jokes,900,477,0.6535948
A teacher asks her class what their favorite letter is. A student puts up his hand and says 'G'. The teacher walks over to him and says^ "Why is that^ Angus?",miscellaneous-jokes,892,3038,0.22697201
Contest in a girl's college: write a short story which contains religion^ sex and mystery. Winner's story: "Oh god^ I am pregnant^ I wonder who did it.",miscellaneous-jokes,891,246,0.78364116
Q: Why did the old woman put roller skates on her rocking chair? A: Because she wanted to rock and roll.,miscellaneous-jokes,853,503,0.62905604
Two guys are standing in line to enter heaven. One turned around and asked the other how he died. "I froze to death. How about you?" "I had a heart attack." "How did that happen?" "Well^ I suspected my wife was cheating on me. So after work I went straight home. I ran upstairs to find my wife sleeping by herself. Then I ran back downstairs and looked in all the hiding spots. When I was running back up the stairs^ I had a heart attack." "That's ironic." "Why?" "If you would've looked in the fridge^ we'd both be alive.",miscellaneous-jokes,842,155,0.8445336
Q: Why can't orphans play baseball? A: Because they don't know where home is.,miscellaneous-jokes,825,1746,0.32088682
Officer: "Madam^ swimming is prohibited in this lake." Lady: "Why didn't you tell me when I was removing my clothes?" Officer: "Well^ that's not prohibited.",miscellaneous-jokes,819,222,0.7867435
Q: Why are ghosts bad liars? A: You can see right through them.,miscellaneous-jokes,813,406,0.6669401
Q: Who cares if you pee in the shower? A: The bride and all her guests^ apparently.,miscellaneous-jokes,809,1733,0.31825334
Five out of six people agree that Russian Roulette is safe.,national-jokes,1327,1541,0.46269178
Q: Why is England the wettest country? A: Because so many kings and queens have been reigning there.,national-jokes,1325,1586,0.45517004
Q: Why do the French eat snails? A: They don't like fast food.,national-jokes,1229,307,0.8001302
China^ Russia^ and Poland venture to space. China says they'll go to Pluto because it's the farthest. Russia says they'll go to Jupiter because it's the biggest. Poland says they'll go to the Sun. Russia and China warn that they'll melt. They reply^ "We'll go at night.",national-jokes,1057,399,0.72596157
Three guys travel to Saudi Arabia and get lost. They walk into a tent that they think was the one they rented^ but actually belongs to a prince with 3 hot wives. The prince comes home and thinks his wives are cheating on him. As a punishment^ he tells them that their penises will have to be cut off in some way relating to their occupation. He asks the first guy what his job was. "I'm an employee at the shooting range^" he replies. "Then we'll shoot your dick off!" the prince says. "I'm a fireman^" the second guy says. "Then we'll burn your cock off!" says the prince. The third guy smiles and says^ "I'm a lollipop salesman.",national-jokes,686,123,0.8479605
A Jewish businessman in America decided to send his son to Israel to absorb some of the culture of the homeland. When the son returned^ the father asked him to tell him about his trip. The son said^ "Pop^ I had a great time in Israel. By the way^ I converted to Christianity." "Oy vey^" said the father. "What have I done?" He decided to go ask his friend Jacob what to do. Jacob said^ "Funny you should ask. I too sent my son to Israel^ and he also came back a Christian. Perhaps we should go see the rabbi and ask him what we should do." So they went to see the Rabbi. The Rabbi said^ "Funny you should ask.I too sent my son to Israel. He also came back a Christian. What is happening to our young people? Perhaps we should go talk to God and ask him what to do." The three of them prayed and explained what had happened to their sons and asked God what to do. Suddenly a voice came loud and clear from Heaven. The Voice said^ "funny you should ask^ I too sent my son to Isreal...",national-jokes,683,186,0.78596085
Q: What do you call a Filipino contortionist? A: A Manila folder.,national-jokes,614,466,0.5685185
Q: What do you call a Mexican that lost his car? A: Carlos.,national-jokes,570,171,0.7692308
Does anyone remember the Swatch^ a watch made in Switzerland? Thank god Croatia didn't come up with the idea first. Just imagine if someone were to ask you what time is it? "Oh pardon me while I look at my crotch.",national-jokes,563,245,0.6967822
Q: Why wasn't Jesus born in Australia? A: God couldn't find three wise men and a virgin.,national-jokes,544,464,0.53968257
Q: If a plane crashed on the Canada/USA border^ where would the survivors be buried? A: You don't bury survivors.,national-jokes,503,265,0.65494794
Q: Why are there no knock knock jokes about America? A: Because freedom rings!,national-jokes,426,331,0.5627477
A Polish man^ a German guy^ and an American dude^ climb a mountain because they each want to make a wish from the genie on the top. When they make it to the top^ they find the lamp and all rub it. The genie appears and says^ "For your wish to be granted^ you must yell it out while you are jumping off of this mountain." So the German jumps off and yells^ "I wish to be a fighter plane!" "So be it^" the genie says^ and the German becomes a plane. The American jumps off and yells^ "I wish to be an eagle!" "So be it^" the genie says^ and the American becomes an eagle and flies away. The Polish man runs to the edge^ accidentally trips on a rock^ and yells^ "I wish to b- oh S**t!",national-jokes,408,158,0.7208481
Two Irishmen friends are drinking together at one of their homes. One friend takes out a bottle of Irish whiskey and asks the other^ "Will you pour this bottle out on my grave if I die first?" His friend replies^ "Do you mind if I pass it through my kidneys first?",national-jokes,407,148,0.73333335
A Polish man married a Canadian girl after he had been in Canada a year or so^ and although his English was far from perfect^ the couple got on very well. One day^ though^ he rushed into a lawyer’s office and asked if he could arrange a divorce for him^ "Very quick!" The lawyer explained that the speed of getting a divorce would depend on the circumstances^ and asked these questions: LAWYER: "Have you any grounds?" POLE: "An acre and half^ and a nice 3 bedroom house." LAWYER: "No^ I mean what is the foundation of the case?" POLE: "It is made of concrete^ bricks & mortar." LAWYER: "Does either of you have a real grudge?" POLE: "No^ we have a carport and don’t need a grudge." LAWYER: "I mean^ what are your relations like?" POLE: "All my relations live in Poland." LAWYER: "Is there any infidelity in your marriage?" POLE: "Yes^ we have hi-fidelity stereo set & DVD player with 6.1 sound." LAWYER: "No^ I mean does your wife beat you up?" POLE: "No^ I’m always up before her." LAWYER: "Why do you want this divorce?" POLE: "She going to kill me!" LAWYER: "What makes you think that?" POLE: "I got proof." LAWYER: "What kind of proof?" POLE: "She going to poison me. She buy bottle at drug store and I read label. It say Polish Remover.",national-jokes,377,47,0.8891509
Q: What's the difference between America and yogurt? A: If you leave yogurt alone for 200 years^ it develops a culture.,national-jokes,339,149,0.6946721
An American^ a Vietnamese^ a Mexican^ a Brazilian^ a Canadian^ a German^ a Turk^ and a Russian walk into a fancy restaurant. When they got to the front desk^ they were kicked out because they did not have a Thai.,national-jokes,299,399,0.42836675
An American tourist walks out of a Mexican train station when he notices he isn't wearing his watch. A Mexican man is resting under a sombrero under a nearby tree. The American approaches the Mexican and asks^ "Excuse me^ do you know what time is?" The Mexican looks at the donkey^ grabs its balls^ and replies^ "4:30." The American asks^ "How do you know that?" The Mexican replies^ "Well you get a handful of the donkeys balls and lift them up so you can see that clock across the street.",national-jokes,250,400,0.3846154
An Indian cab driver picked up a Japanese man from a hotel. Along the way^ they saw a Honda motorcycle overtake the taxicab and the Japanese guy said^ "Motorcycle very fast^ made in Japan." Then a Toyota car overtook the taxicab and the Japanese guy said^ "Car very fast^ made in Japan." When they reached the destination the fare was 1500 rupees. The Japanese man thought the ride was would only cost 500 rupees. He asked the driver why the ride was so expensive. The driver said^ "Meter very fast^ made in India.",national-jokes,215,40,0.84313726
Q: Which state has the most questions? A: Alaska.,national-jokes,194,146,0.57058823
In class^ Jose is asked to use the word "Cherokee" in a sentence. He pauses and says^ "I lost my house key and now I have to Cherokee with my sister.",national-jokes,173,110,0.61130744
How do Germans tie their shoes? With little knot-sies!,national-jokes,162,113,0.5890909
Why do Italians wear gold chains? So they know where to stop shaving!,national-jokes,129,114,0.5308642
A Brazilian^ a Frenchman^ and a Nigerian were in a plane. The pilot told them that they have to jump out of the plane when they find their country. The Brazilian jumped out when he saw the Christ the Redeemer statue. The Frenchman jumped out when he saw the Eiffel Tower. When it was the Nigerian's turn the pilot asked^ "When will you jump?" The Nigerian put his hand outside the plane window. When he brought it back in^ his watch was gone. He said^ "Ah^ we've reached my country.",national-jokes,126,40,0.7590361
Q: Why were the Indians here first? A: They had reservations.,national-jokes,123,58,0.67955804
Why are there no ice cubes in Poland? Because they lost the recipe.,national-jokes,122,233,0.34366196
Paddy Englishman^ Paddy Scotchman and Paddy Irishman come across a magic slide. The slide operator tells them when they slide down^ whatever they shout out for is what they will land in at the bottom. Paddy Englishman goes first and yells "Gold!" and lands in gold. Paddy Scotsman goes next and screams "Silver!" so he lands in silver. Paddy Irishman looks down the slide and^ being afraid of heights^ closes his eyes and jumps^ crying out "OH SH*T!",national-jokes,110,57,0.65868264
Q: How many Frenchmen does it take to change a light bulb? A: Five. One to hold the light bulb and four to turn the house.,national-jokes,104,178,0.36879432
Q: If you go into the toilet American and you come out of the toilet American^ what are you while you're on the toilet? A: European.,national-jokes,103,133,0.43644068
What's the difference between an Irish wake and an Irish wedding? One less drunk.,national-jokes,101,67,0.60119045
Have you heard the Mexican weather forecast? Chili today and hot tamale.,national-jokes,100,115,0.4651163
Q: Why is North Korea not as fun as South Korea? A: Because it has no Seoul.,national-jokes,97,40,0.7080292
Q: Does Britain have a 4th of July? A: Yes^ and a 5th and a 6th too,national-jokes,92,127,0.42009133
Two men from Dublin are walking to the annual Dublin Fair^ when it starts to rain. "Patrick^ put your umbrella up^ it's raining." "I can't^ Mick^ it's got holes in it." "Holes in it? Then why did you bring it with you?" "I didn't think it would rain.",national-jokes,63,113,0.35795453
Q: Do you want to know how I got out of Iraq? A: I-ran,national-jokes,59,25,0.70238096
I live in Bakersfield^ California. At least it's not Barstow^ a city that owes its existence to the fact that people traveling to Las Vegas needed a place to stop and take a sh*t. There was a toilet and they built a city around it.,national-jokes,53,101,0.34415585
A local United Way office realized that the organization had never received a donation from the town's most successful lawyer. The person in charge of contributions called him to persuade him to contribute. "Our research shows that out of a yearly income of at least $500^000^ you did not give a penny to charity. Wouldn't you like to give back to the community in some way?" The lawyer mulled this over for a moment and replied^ "First^ did your research also show that my mother is dying after a long illness^ and has medical bills that are several times her annual income?" Embarrassed^ the United Way rep mumbled^ "Um^ no." The lawyer interrupts^ "Or that my brother^ a disabled veteran^ is blind and confined to a wheelchair?" The stricken United Way rep began to stammer out an apology^ but was interrupted again. "Or that my sister's husband died in a traffic accident^" the lawyer's voice rising in indignation^ "leaving her penniless with three children?!" The humiliated United Way rep^ completely beaten^ said simply^ "I had no idea." On a roll^ the lawyer cut him off once again^ "So if I don't give any money to them^ why should I give any to you?",office-jokes,539,88,0.8596491
"What do you want to be when you grow up?" "A doctor." "And why's that?" "Because it's the only profession where you can tell women to take off their clothes and then stick their husbands with the bill.",office-jokes,504,243,0.67469877
As a group of soldiers stood in formation at an Army Base^ the Drill Sergeant said^ "All right! All you idiots fall out." As the rest of the squad wandered away^ one soldier remained at attention. The Drill Instructor walked over until he was eye to eye with him^ and then raised a single eyebrow. The soldier smiled and said^ "Sure was a lot of 'em^ huh^ sir?",office-jokes,481,61,0.88745385
A man was walking down the street and saw a sign in a store window that said "Help Wanted^" so the man ran in the store and yelled out^ "What's wrong?!",office-jokes,472,360,0.5673077
Q: What starts with a P^ ends with an E^ and has a 1^000 letters? A: Post office.,office-jokes,429,186,0.69756097
What did the psychiatrist say when a man wearing nothing but saran wrap walked in to the office? I can clearly see "you're" nuts....,office-jokes,311,136,0.69574946
Pappu:My internet is not working properly..o Officer:Ok^ Double click on “My computer” Pappu:I can’t see ur computer.. Officer:No no.. click on “My computer” on ur computer.. Pappu:How can I click on ur computer from my computer?.. Officer:listen.. There is an icon labelled “My Computer” on ur computer.. Ok. double click on it.. Pappu:what the hell^ what is your computer doing on my computer..??? Officer:Double click on ur computer.. Pappu:On which Icon i’ve to click.. Officer:“My Computer”.. Pappu:…Oh u Idiot…… Tell me where is ur office…I’ll come there and click on ur “Computer.,office-jokes,310,163,0.6553911
What do you call a lawyer who doesn't know the law? A judge.,office-jokes,289,189,0.6046025
A scientist and a philosopher are being chased by a hungry lion. The scientist makes some quick calculations and says^ “It's no good trying to outrun it. It's catching up!” The philosopher keeps a little ahead and replies^ “I'm not trying to outrun the lion^ I'm trying to outrun you!”,office-jokes,269,53,0.83540374
Employe: "I bet you $6^000 i can piss in your cup 30 meters away." Boss: "Ok I would like to see you try." Employe: As he moves on pissing all over the floor loosing $6^000 not caring. Boss: "Ha you just lost $6^000." Secratary: "God damnit!" Boss: "Whats wrong?" Secratary: "He bet me $200^000 he could piss allover your floor and you would be happy about it!",office-jokes,260,85,0.7536232
What do your boss and a slinky have in common? They’re both fun to watch tumble down the stairs.,office-jokes,258,125,0.6736292
Being an astronaut is funny. It's the only job where you get fired before you start work.,office-jokes,249,175,0.5872642
What do you have when 100 lawyers are buried up to their necks in sand? Not enough sand.,office-jokes,246,119,0.6739726
I love pressing F5. It is so refreshing.,office-jokes,229,250,0.47807932
I love pressing F5. It is so refreshing.,office-jokes,229,250,0.47807932
An old lady rushed into the police department and claimed she was raped. When asked what the guy looked like^ she said she didn't know^ only that he was a contractor. When asked how she knew that^ she yelled^ "All he could say was^ 'I'm coming! I'm coming!' and he never finished the job.",office-jokes,181,127,0.58766234
Q: What's the difference between a genealogist and a gynecologist? A: The genealogist checks the family tree and the gynecologist checks the family bush.,office-jokes,178,156,0.5329341
Why won't sharks attack lawyers? Professional courtesy.,office-jokes,171,63,0.7307692
Why was the lawyer skimming the Bible right before he died? He was looking for loopholes!,office-jokes,169,74,0.69547325
An infinite crowd of mathematicians enter a bar. The first one orders a pint^ the second one orders half a pint^ the third one orders a quarter pint. The bartender says^ "I understand^" and pours two pints.,office-jokes,167,247,0.40338165
